"TERCİH KODU",İL,İLÇE,OKUL ADI,TÜRÜ,ALAN,"YABANCIDİLİ","TABANPUAN","TABANYÜZDE","TAVANPUAN","TAVANYÜZDE"
49400,ADANA,SEYHAN,Gazi Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"414,9204","7,47","433,7801","4,75"
49955,ADANA,SEYHAN,Seyhan Danişment Gazi Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"406,18","8,88","435,1059","4,58"
50658,ADANA,YÜREĞİR,75.Yıl Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"398,3141","10,22","420,1549","6,66"
49967,ADANA,KOZAN,Fatih Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"396,0863","10,62","440,2864","3,94"
49296,ADANA,YÜREĞİR,Yüreğir Halıcılar Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"390,6453","11,59","416,7931","7,18"
39812,ADANA,CEYHAN,Şehit Zeynep Sağır Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"378,9348","13,89","445,7107","3,3"
47551,ADANA,YÜREĞİR,TOKİ Köprülü Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"377,8331","14,12","416,0523","7,29"
47155,ADANA,SEYHAN,Adana Erkek Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"351,0819","20,2","441,2826","3,82"
40992,ADANA,CEYHAN,Ceyhan Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"334,8015","24,56","378,6028","13,96"
55888,ADANA,YÜREĞİR,Karşıyaka Atatürk Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"332,2782","25,3","390,8831","11,55"
47835,ADANA,ÇUKUROVA,Adana Kız Lisesi,Anadolu Lisesi,,İngilizce,"291,2473","39,75","424,6336",6
49245,ADANA,ÇUKUROVA,Hümeyra Ökten Kız Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"395,9752","10,64","479,5802","0,47"
49860,ADANA,SEYHAN,Adana Kıvanç Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"339,3993","23,27","427,4806","5,59"
49305,ADANA,ÇUKUROVA,Yaşar Rukiye Kısacık Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"328,2891","26,5","399,6805","9,99"
40833,ADANA,İMAMOĞLU,İmamoğlu Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"308,848","32,96","386,0319","12,49"
50825,ADANA,SARIÇAM,Fatıma Zehra Kız Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"291,2","39,76","392,1719","11,31"
40055,ADANA,YÜREĞİR,Medine Müdafii Fahreddin Paşa Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"287,3678","41,4","347,1392","21,21"
71435,ADANA,SEYHAN,Tepebağ Kız Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"263,4699","52,78","380,2529","13,63"
40030,ADANA,CEYHAN,Ceyhan Kız Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"228,2073","74,28","350,9454","20,23"
72381,ADANA,SEYHAN,Adana Kıvanç Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,HAFIZLIK PROJESİ (Fen ve Sosyal Bilimler Programı),İngilizce,"195,3957","94,36","380,0249","13,68"
49709,ADANA,KOZAN,Kozan Kız Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"183,4033","97,92","381,8382","13,31"
50211,ADANA,SEYHAN,Fatih Sultan Mehmet Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,SAĞLIK HİZMETLERİ ALANI,İngilizce,"345,0796","21,75","397,5116","10,37"
49933,ADANA,ÇUKUROVA,Çukurova Elektrik Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,ELEKTRİK- ELEKTRONİK TEKNOLOJİSİ ALANI,İngilizce,"265,4949","51,72","376,2313","14,45"
39994,ADANA,CEYHAN,Heydar Aliyev Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,KİMYA TEKNOLOJİSİ ALANI,İngilizce,"260,9594","54,09","346,9112","21,27"
49694,ADANA,YÜREĞİR,Borsa İstanbul Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,BİLİŞİM TEKNOLOJİLERİ ALANI,İngilizce,"257,1386","56,19","351,6184","20,06"
40192,ADANA,ÇUKUROVA,Kurttepe Şehit Ali Öztaş Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,YENİLENEBİLİR ENERJİ TEKNOLOJİLERİ ALANI,İngilizce,"254,8808","57,44","358,8171","18,32"
49363,ADANA,KOZAN,Kozan Şehit Arda Can Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,ELEKTRİK- ELEKTRONİK TEKNOLOJİSİ ALANI,İngilizce,"251,7251","59,25","382,8582","13,11"
50077,ADANA,ÇUKUROVA,Kurttepe Şehit Ali Öztaş Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,RAYLI SİSTEMLER TEKNOLOJİSİ ALANI,İngilizce,"250,4713","59,98","362,7017","17,4"
50014,ADANA,SEYHAN,Adana Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,ENDÜSTRİYEL OTOMASYON TEKNOLOJİLERİ ALANI,İngilizce,"243,2062","64,39","323,9141","27,88"
49547,ADANA,SEYHAN,Adana Seyhan Şehit Bora Süelkan Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,MOTORLU ARAÇLAR TEKNOLOJİSİ ALANI,İngilizce,"241,2871","65,59","311,1965","32,13"
49384,ADANA,SEYHAN,Sabancı Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,MODA TASARIM TEKNOLOJİLERİ,İngilizce,"237,8471","67,8","334,9425","24,52"
50301,ADANA,SARIÇAM,Türk Tekstil Vakfı Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,ENDÜSTRİYEL OTOMASYON TEKNOLOJİLERİ ALANI,İngilizce,"234,0893","70,28","327,5022","26,74"
39855,ADANA,SEYHAN,Yeşilevler Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,ELEKTRİK- ELEKTRONİK TEKNOLOJİSİ ALANI,İngilizce,"232,2374","71,53","325,1523","27,49"
50294,ADANA,SEYHAN,İsmet İnönü Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,HARİTA-TAPU-KADASTRO ALANI,İngilizce,"225,5868","76,08","336,0845","24,2"
40178,ADANA,SARIÇAM,Türk Tekstil Vakfı Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,TEKSTİL TEKNOLOJİSİ ALANI,İngilizce,"214,2062","83,91","333,1147","25,05"
39723,ADANA,CEYHAN,Ceyhan Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,ELEKTRİK- ELEKTRONİK TEKNOLOJİSİ ALANI,İngilizce,"197,8056","93,34","331,4816","25,53"
39960,ADANA,SARIÇAM,Evliya Çelebi Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,YİYECEK İÇECEK HİZMETLERİ ALANI (SINAVLI),İngilizce,"252,7027","58,68","366,3667","16,57"
40118,ADANA,SARIÇAM,Evliya Çelebi Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,KONAKLAMA ve SEYAHAT HİZMETLERİ ALANI (SINAVLI),İngilizce,"243,0737","64,47","375,7371","14,56"
49649,ADANA,ÇUKUROVA,Nezihe Yalvaç Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,YİYECEK İÇECEK HİZMETLERİ ALANI,Almanca,"243,0562","64,48","386,8564","12,32"
49494,ADANA,ÇUKUROVA,Nezihe Yalvaç Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,KONAKLAMA ve SEYAHAT HİZMETLERİ ALANI,İngilizce,"242,4856","64,84","336,1203","24,19"
50095,ADANA,ÇUKUROVA,Nezihe Yalvaç Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,YİYECEK İÇECEK HİZMETLERİ ALANI,Rusça,"224,2795","76,97","314,4974","30,98"
50073,ADIYAMAN,MERKEZ,Adıyaman Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,"455,6876","2,25","492,7351","0,08"
50747,ADIYAMAN,GÖLBAŞI,Gölbaşı Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,"401,5022","9,67","479,9581","0,46"
39778,ADIYAMAN,BESNİ,Merinos Ali Erdemoğlu Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,"391,8186","11,37","452,1428","2,6"
40187,ADIYAMAN,KAHTA,Kahta Borsa İstanbul Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,"388,4762","12,01","454,0991","2,4"
40988,ADIYAMAN,MERKEZ,Esentepe Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"427,5617","5,58","455,3562","2,28"
50375,ADIYAMAN,MERKEZ,Altınşehir Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"420,8277","6,56","455,3359","2,28"
40987,ADIYAMAN,KAHTA,Kahta Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"345,7273","21,58","408,426","8,5"
49930,ADIYAMAN,MERKEZ,Adıyaman Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"401,5772","9,66","480,9769","0,41"
39876,ADIYAMAN,MERKEZ,Türkiye Odalar ve Borsalar Birliği Kız Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"391,8474","11,37","454,2","2,39"
49961,ADIYAMAN,KAHTA,Ebu Sadık Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"334,2376","24,72","443,1234","3,6"
39927,ADIYAMAN,GÖLBAŞI,Mehmet Tevfik Göksu Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"303,9259","34,76","419,4376","6,77"
39878,ADIYAMAN,BESNİ,Besni Kız Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"214,2723","83,87","391,0361","11,52"
50302,ADIYAMAN,MERKEZ,Adıyaman Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,ELEKTRİK- ELEKTRONİK TEKNOLOJİSİ ALANI,İngilizce,"227,346","74,87","384,6983","12,75"
40004,ADIYAMAN,MERKEZ,Adıyaman Mimar Sinan Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,MOTORLU ARAÇLAR TEKNOLOJİSİ ALANI,İngilizce,"210,1046","86,59","292,7758","39,11"
47879,ADIYAMAN,MERKEZ,Adıyaman Ziraat Teknolojileri Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,TARIM ALANI,İngilizce,"205,6517","89,28","346,5256","21,37"
50461,ADIYAMAN,MERKEZ,Dumlupınar Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,BİLİŞİM TEKNOLOJİLERİ ALANI,İngilizce,"184,5061","97,69","315,8093","30,53"
50766,ADIYAMAN,MERKEZ,Adıyaman Mimar Sinan Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,YENİLENEBİLİR ENERJİ TEKNOLOJİLERİ ALANI,İngilizce,"161,9611","99,84","307,0531","33,61"
49764,ADIYAMAN,MERKEZ,Adıyaman Perre Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,KONAKLAMA ve SEYAHAT HİZMETLERİ ALANI (SINAVLI),İngilizce,"196,7003","93,82","318,127","29,76"
50297,ADIYAMAN,MERKEZ,Adıyaman Perre Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,YİYECEK İÇECEK HİZMETLERİ ALANI (SINAVLI),İngilizce,"179,865","98,54","350,9064","20,24"
39914,AFYONKARAHİSAR,MERKEZ,Süleyman Demirel Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,"456,1095","2,21","498,0273","0,02"
39961,AFYONKARAHİSAR,BOLVADİN,Ayfer-Ceylan EMET Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,"402,3319","9,53","452,8036","2,53"
50340,AFYONKARAHİSAR,SANDIKLI,Sandıklı Türk Telekom Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,"394,8273","10,84","448,1368","3,03"
49605,AFYONKARAHİSAR,DİNAR,Dinar Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,"389,3133","11,85","483,2627","0,3"
40943,AFYONKARAHİSAR,MERKEZ,TOKİ Sosyal Bilimler Lisesi,Hazırlık Sınıfı Bulunmayan Sosyal Bilimler Lisesi,,İngilizce,"370,2184","15,72","412,1495","7,89"
41080,AFYONKARAHİSAR,BOLVADİN,Raziye Sultan-Yusuf Kayabaşı Sosyal Bilimler Lisesi,Hazırlık Sınıfı Bulunmayan Sosyal Bilimler Lisesi,,İngilizce,"329,9691","25,99","399,5024","10,02"
39728,AFYONKARAHİSAR,MERKEZ,Kamil Miras Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"434,0028","4,73","456,0055","2,22"
49435,AFYONKARAHİSAR,MERKEZ,Afyon Lisesi,Anadolu Lisesi,,İngilizce,"414,0618","7,6","449,7054","2,85"
47781,AFYONKARAHİSAR,ŞUHUT,Şuhut Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"303,274","35,01","412,2829","7,87"
40993,AFYONKARAHİSAR,ÇAY,Çay Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"299,0549","36,61","388,2326","12,06"
41030,AFYONKARAHİSAR,EMİRDAĞ,Emirdağ Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"280,7405","44,31","366,8823","16,46"
47626,AFYONKARAHİSAR,İSCEHİSAR,İscehisar Mehmet Çakmak Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"273,8683","47,54","393,6159","11,06"
50438,AFYONKARAHİSAR,MERKEZ,Afyonkarahisar Kız Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"351,1218","20,19","476,9856","0,59"
40935,AFYONKARAHİSAR,DİNAR,Dinar Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"315,8309","30,52","382,8262","13,11"
71758,AFYONKARAHİSAR,SANDIKLI,Sandıklı Kız Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"309,0727","32,88","381,416","13,39"
50473,AFYONKARAHİSAR,MERKEZ,Afyonkarahisar Hattat Ahmet Karahisari Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"309,0044","32,9","402,181","9,55"
40801,AFYONKARAHİSAR,BOLVADİN,Bolvadin Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"287,4406","41,36","391,0237","11,52"
71767,AFYONKARAHİSAR,ŞUHUT,Şuhut Kız Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"275,7638","46,65","374,174","14,88"
50085,AFYONKARAHİSAR,SANDIKLI,Sandıklı Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"271,4531","48,7","370,1177","15,75"
49487,AFYONKARAHİSAR,EMİRDAĞ,Emirdağ Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"246,4433","62,39","380,2224","13,64"
49522,AFYONKARAHİSAR,MERKEZ,Afyonkarahisar Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,ELEKTRİK- ELEKTRONİK TEKNOLOJİSİ ALANI,İngilizce,"286,0577","41,95","409,6897","8,29"
49707,AFYONKARAHİSAR,MERKEZ,Afyonkarahisar Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,BİLİŞİM TEKNOLOJİLERİ ALANI,İngilizce,"276,4584","46,32","350,5233","20,33"
49606,AFYONKARAHİSAR,MERKEZ,Afyonkarahisar Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,MAKİNE VE TASARIM TEKNOLOJİSİ ALANI,İngilizce,"253,8777",58,"341,4825","22,7"
49943,AFYONKARAHİSAR,MERKEZ,Afyonkarahisar Gazi Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,ENDÜSTRİYEL OTOMASYON TEKNOLOJİLERİ ALANI,İngilizce,"251,3904","59,44","328,7819","26,35"
49643,AFYONKARAHİSAR,MERKEZ,Afyonkarahisar Gazi Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,RAYLI SİSTEMLER TEKNOLOJİSİ ALANI (SINAVLI),İngilizce,"246,856","62,14","331,1769","25,62"
40872,AFYONKARAHİSAR,MERKEZ,Afyonkarahisar Atatürk Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,SAĞLIK HİZMETLERİ ALANI (SINAVLI),İngilizce,"346,0911","21,48","378,9321","13,89"
49642,AFYONKARAHİSAR,MERKEZ,Afyonkarahisar Gazi Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,RAYLI SİSTEMLER TEKNOLOJİSİ ALANI (SINAVLI),İngilizce,"251,5477","59,35","326,8846","26,93"
48687,AFYONKARAHİSAR,DİNAR,Dinar Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,ELEKTRİK- ELEKTRONİK TEKNOLOJİSİ ALANI (SINAVLI),İngilizce,"189,5751","96,4","283,2968","43,17"
50573,AĞRI,MERKEZ,Ağrı Hüseyin Celal Yardımcı Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,"408,2531","8,53","475,2722","0,71"
50160,AĞRI,PATNOS,Patnos Selahaddin Eyyubi Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,"360,1383",18,"427,3716","5,61"
65414,AĞRI,DOĞUBAYAZIT,Ömer Çoktin Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,"356,4538","18,89","436,173","4,45"
39716,AĞRI,MERKEZ,Türk Telekom Sosyal Bilimler Lisesi,Sosyal Bilimler Lisesi,,İngilizce,"330,4004","25,86","386,1488","12,46"
50558,AĞRI,MERKEZ,Ağrı Dağı Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"355,4109","19,14","407,2059","8,7"
49613,AĞRI,MERKEZ,15 Temmuz Şehitleri Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"348,5539","20,84","406,9189","8,75"
39713,AĞRI,DOĞUBAYAZIT,Doğubeyazıt Rıza Ertuğrul Eryılmaz Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"315,9395","30,49","355,1241","19,21"
49737,AĞRI,MERKEZ,Hayrettin Atmaca Kız Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"309,3234","32,79","390,9938","11,52"
49675,AĞRI,ELEŞKİRT,Recep Tayyip Erdoğan Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"286,68","41,68","434,7382","4,63"
49656,AĞRI,MERKEZ,Ağrı Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"271,3165","48,77","342,6419","22,38"
49687,AĞRI,PATNOS,15 Temmuz Şehitleri Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"248,8792","60,91","359,3991","18,18"
40060,AĞRI,DOĞUBAYAZIT,Fatımatü Zehra Kız Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"243,1592","64,42","348,6626","20,81"
72096,AĞRI,DOĞUBAYAZIT,Medine Müdafii Fahrettin Paşa Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"228,3705","74,17","312,3631","31,72"
71853,AĞRI,DİYADİN,Diyadin Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"191,5081","95,79","359,6833","18,12"
50652,AĞRI,MERKEZ,Nurettin Dolgun Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,ELEKTRİK- ELEKTRONİK TEKNOLOJİSİ ALANI,İngilizce,"258,791","55,27","312,8205","31,56"
50313,AĞRI,MERKEZ,Nurettin Dolgun Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,TESİSAT TEKNOLOJİSİ VE İKLİMLENDİRME ALANI,İngilizce,"246,9075","62,11","297,0156","37,41"
49850,AKSARAY,MERKEZ,Aksaray Şehit Pilot Hamza Gümüşsoy Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,"451,4014","2,68","494,774","0,04"
50246,AKSARAY,MERKEZ,Abdülhamid Han Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,"438,7809","4,13","483,2713","0,3"
49604,AKSARAY,ORTAKÖY,Şehit Nurullah Sabırer Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,"371,7494","15,39","437,0125","4,34"
50537,AKSARAY,MERKEZ,Ahmet Cevdet Paşa Sosyal Bilimler Lisesi,Sosyal Bilimler Lisesi,,İngilizce,"391,0205","11,52","434,7179","4,63"
50692,AKSARAY,MERKEZ,Hazım Kulak Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"417,6898","7,04","441,6609","3,77"
40867,AKSARAY,ESKİL,Eskil Atatürk Anadolu Lisesi,Anadolu Lisesi,,İngilizce,"263,3623","52,83","389,975","11,72"
49654,AKSARAY,MERKEZ,Şehit Önder Güzel Kız Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"374,9248","14,73","444,0814","3,49"
41112,AKSARAY,MERKEZ,Recep Tayyip Erdoğan Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"367,5213","16,31","444,1243","3,49"
50727,AKSARAY,MERKEZ,Aksaray Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"259,7376","54,75","369,7483","15,83"
40820,AKSARAY,MERKEZ,Kanuni Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,"186,5438","97,22","358,1668","18,47"
39746,AKSARAY,MERKEZ,Şehit Yavuz Çoban Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,ELEKTRİK- ELEKTRONİK TEKNOLOJİSİ ALANI,İngilizce,"303,292",35,"355,4114","19,14"
40013,AKSARAY,MERKEZ,Şehit Yavuz Çoban Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,MOTORLU ARAÇLAR TEKNOLOJİSİ ALANI,İngilizce,"293,9039","38,65","367,6049","16,29"
49269,AKSARAY,MERKEZ,75. Yıl Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,ELEKTRİK- ELEKTRONİK TEKNOLOJİSİ ALANI,İngilizce,"257,7949","55,82","349,5926","20,56"
